[2026-06-01 00:12:45] INFO     - ═════════════════════ Process started ═════════════════════
[2026-06-01 00:12:46] INFO     - Excel loaded: 103 players, 103 bowlers from 'C:\Users\himan\Documents\UiPath\CrickInfo\Data\IPLPointsData.xlsx'
[2026-06-01 00:12:46] INFO     - Google Sheets authentication successful.
[2026-06-01 00:12:51] INFO     - Worksheets opened: ['Points', 'Home', 'Data']
[2026-06-01 00:13:39] INFO     - Updating previous points for all players before processing.
[2026-06-01 00:13:39] DEBUG    - ======================================================
[2026-06-01 00:13:43] DEBUG    - Updated previous points for 'Vaibhav Sooryavanshi' at row 15: 923 → 1075
[2026-06-01 00:13:43] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:13:46] DEBUG    - Updated previous points for 'Abhishek Sharma' at row 17: 925 → 955
[2026-06-01 00:13:46] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:13:50] DEBUG    - Updated previous points for 'Ishan Kishan' at row 18: 928 → 996
[2026-06-01 00:13:50] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:13:53] DEBUG    - Updated previous points for 'Pat Cummins' at row 19: 355 → 357
[2026-06-01 00:13:53] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:13:57] DEBUG    - Updated previous points for 'Yashasvi Jaiswal' at row 54: 651 → 688
[2026-06-01 00:13:57] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:14:00] DEBUG    - Updated previous points for 'Travis Head' at row 55: 628 → 653
[2026-06-01 00:14:00] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:14:04] DEBUG    - Updated previous points for 'Nitish Kumar Reddy' at row 56: 697 → 798
[2026-06-01 00:14:04] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:14:07] DEBUG    - Updated previous points for 'Riyan Parag' at row 73: 504 → 546
[2026-06-01 00:14:07] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:14:11] DEBUG    - Updated previous points for 'Heinrich Klaasen' at row 75: 976 → 1016
[2026-06-01 00:14:11] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:14:14] DEBUG    - Updated previous points for 'Jofra Archer' at row 94: 909 → 1035
[2026-06-01 00:14:14] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:14:18] DEBUG    - Updated previous points for 'Ravindra Jadeja' at row 95: 589 → 661
[2026-06-01 00:14:18] DEBUG    - Sleeping 3s after updating previous points.
[2026-06-01 00:14:18] DEBUG    - ======================================================
[2026-06-01 00:14:38] DEBUG    - ===============================================================
[2026-06-01 00:14:38] INFO     - Pausing 5s before before next steps.
[2026-06-01 00:14:38] DEBUG    - ===============================================================
[2026-06-01 00:14:41] DEBUG    - ===============================================================
[2026-06-01 00:14:41] DEBUG    - ===============================================================
[2026-06-01 00:14:41] INFO     - Processing count= 1
[2026-06-01 00:14:41] INFO     - Processing player of CSK : 'Shivam Dube' | 465 points | team: CSK
[2026-06-01 00:14:41] DEBUG    - Match found for Shivam Dube in Points at row 5
[2026-06-01 00:14:41] INFO     - No update needed for Shivam Dube in Points as points are unchanged.
[2026-06-01 00:14:41] DEBUG    - ===============================================================
[2026-06-01 00:14:41] INFO     - Processing count= 2
[2026-06-01 00:14:41] INFO     - Processing player of CSK : 'Sanju Samson' | 770 points | team: CSK
[2026-06-01 00:14:41] DEBUG    - Match found for Sanju Samson in Points at row 6
[2026-06-01 00:14:41] INFO     - No update needed for Sanju Samson in Points as points are unchanged.
[2026-06-01 00:14:41] DEBUG    - ===============================================================
[2026-06-01 00:14:41] INFO     - Processing count= 3
[2026-06-01 00:14:41] INFO     - Processing player of GT : 'Sai Sudharsan' | 1071 points | team: GT
[2026-06-01 00:14:41] DEBUG    - Match found for Sai Sudharsan in Points at row 7
[2026-06-01 00:14:42] INFO     - Points gained for Sai Sudharsan in Points: 86 (Points: 1071, Dot Balls: 0, Previous Total: 985)
